Store,city,state,zip-code,statepopulation
Wholefood,Beverly Hills,CA,90210,"39,747,267"
Wholefood,Beverly Hills,CA,90211,"39,747,267"
Wholefood,Beverly Hills,CA,90212,"39,747,267"
Wholefood,Beverly Hills,CA,90213,"39,747,267"
Wholefood,Brea,CA,92823,"39,747,267"
Wholefood,Burbank,CA,91505,"39,747,267"
Wholefood,Burbank,CA,91506,"39,747,267"
Wholefood,Burbank,CA,91507,"39,747,267"
Wholefood,Burbank,CA,91508,"39,747,267"
Wholefood,El Segundo,CA,90245,"39,747,267"
Wholefood,El Segundo,CA,90246,"39,747,267"
Wholefood,El Segundo,CA,90247,"39,747,267"
Wholefood,El Segundo,CA,90248,"39,747,267"
Wholefood,Glendale,CA,91206,"39,747,267"
Wholefood,Glendale,CA,91207,"39,747,267"
Wholefood,Glendale,CA,91208,"39,747,267"
Wholefood,Glendale,CA,91209,"39,747,267"
Wholefood,Huntington Beach,CA,92647,"39,747,267"
Wholefood,Irvine,CA,92618,"39,747,267"
Wholefood,La Jolla,CA,92037,"39,747,267"
Wholefood,Laguna Beach,CA,92651,"39,747,267"
Wholefood,Laguna Niguel,CA,92677,"39,747,267"
Wholefood,Long Beach,CA,90803,"39,747,267"
Wholefood,Long Beach,CA,90808,"39,747,267"
Wholefood,Los Angeles,CA,90017,"39,747,267"
Wholefood,Los Angeles,CA,90018,"39,747,267"
Wholefood,Los Angeles,CA,90019,"39,747,267"
Wholefood,Los Angeles,CA,90020,"39,747,267"
Wholefood,Los Angeles,CA,90024,"39,747,267"
Wholefood,Los Angeles,CA,90025,"39,747,267"
Wholefood,Los Angeles,CA,90026,"39,747,267"
Wholefood,Los Angeles,CA,90036,"39,747,267"
Wholefood,Los Angeles,CA,90037,"39,747,267"
Wholefood,Los Angeles,CA,90038,"39,747,267"
Wholefood,Los Angeles,CA,90039,"39,747,267"
Wholefood,Los Angeles,CA,90039,"39,747,267"
Wholefood,Los Angeles,CA,90040,"39,747,267"
Wholefood,Los Angeles,CA,90041,"39,747,267"
Wholefood,Los Angeles,CA,90042,"39,747,267"
Wholefood,Los Angeles,CA,90049,"39,747,267"
Wholefood,Los Angeles,CA,90050,"39,747,267"
Wholefood,Los Angeles,CA,90051,"39,747,267"
Wholefood,Los Angeles,CA,90064,"39,747,267"
Wholefood,Los Angeles,CA,90065,"39,747,267"
Wholefood,Los Angeles,CA,90066,"39,747,267"
Wholefood,Los Angeles,CA,90067,"39,747,267"
Wholefood,Newport Beach,CA,92660,"39,747,267"
Wholefood,Palm Desert,CA,92260,"39,747,267"
Wholefood,Pasadena,CA,91105,"39,747,267"
Wholefood,Pasadena,CA,91106,"39,747,267"
Wholefood,Pasadena,CA,91107,"39,747,267"
Wholefood,Pasadena,CA,91107,"39,747,267"
Wholefood,Pasadena,CA,91108,"39,747,267"
Wholefood,Playa Vista,CA,90094,"39,747,267"
Wholefood,Playa Vista,CA,90095,"39,747,267"
Wholefood,Playa Vista,CA,90096,"39,747,267"
Wholefood,Playa Vista,CA,90097,"39,747,267"
Wholefood,Redondo Beach,CA,90277,"39,747,267"
Wholefood,Redondo Beach,CA,90278,"39,747,267"
Wholefood,Redondo Beach,CA,90279,"39,747,267"
Wholefood,Redondo Beach,CA,90280,"39,747,267"
Wholefood,San Diego,CA,92014,"39,747,267"
Wholefood,San Diego,CA,92103,"39,747,267"
Wholefood,Santa Monica,CA,90403,"39,747,267"
Wholefood,Santa Monica,CA,90404,"39,747,267"
Wholefood,Santa Monica,CA,90404,"39,747,267"
Wholefood,Santa Monica,CA,90405,"39,747,267"
Wholefood,Santa Monica,CA,90405,"39,747,267"
Wholefood,Santa Monica,CA,90406,"39,747,267"
Wholefood,Sherman Oaks,CA,91403,"39,747,267"
Wholefood,Sherman Oaks,CA,91404,"39,747,267"
Wholefood,Sherman Oaks,CA,91405,"39,747,267"
Wholefood,Sherman Oaks,CA,91423,"39,747,267"
Wholefood,Sherman Oaks,CA,91424,"39,747,267"
Wholefood,Sherman Oaks,CA,91425,"39,747,267"
Wholefood,Sherman Oaks,CA,91426,"39,747,267"
Wholefood,Torrance,CA,90505,"39,747,267"
Wholefood,Torrance,CA,90506,"39,747,267"
Wholefood,Torrance,CA,90507,"39,747,267"
Wholefood,Torrance,CA,90508,"39,747,267"
Wholefood,Tustin,CA,92782,"39,747,267"
Wholefood,Upland,CA,91784,"39,747,267"
Wholefood,Venice,CA,90291,"39,747,267"
